Year,Month,Fresh_Nut_Million
2015,Jan,156.15
2015,Feb,156.15
2015,Mar,156.15
2015,Apr,156.15
2015,May,156.15
2015,Jun,156.15
2015,Jul,156.15
2015,Aug,156.15
2015,Sep,156.15
2015,Oct,156.15
2015,Nov,156.15
2015,Dec,156.15
2016,Jan,148.89
2016,Feb,148.89
2016,Mar,148.89
2016,Apr,148.89
2016,May,148.89
2016,Jun,148.89
2016,Jul,148.89
2016,Aug,148.89
2016,Sep,148.89
2016,Oct,148.89
2016,Nov,148.89
2016,Dec,148.89
2017,Jan,151.52
2017,Feb,151.82
2017,Mar,136.38
2017,Apr,137.37
2017,May,137.13
2017,Jun,144.39
2017,Jul,136.85
2017,Aug,136.78
2017,Sep,136.54
2017,Oct,129.06
2017,Nov,128.69
2017,Dec,128.98
2018,Jan,137.68
2018,Feb,140.72
2018,Mar,145.03
2018,Apr,149.0
2018,May,153.11
2018,Jun,152.56
2018,Jul,152.55
2018,Aug,152.43
2018,Sep,152.33
2018,Oct,153.07
2018,Nov,152.46
2018,Dec,152.89
2019,Jan,150.57
2019,Feb,150.09
2019,Mar,150.36
2019,Apr,151.13
2019,May,150.43
2019,Jun,150.27
2019,Jul,150.59
2019,Aug,150.93
2019,Sep,150.9
2019,Oct,150.68
2019,Nov,150.75
2019,Dec,150.2
2020,Jan,152.33
2020,Feb,151.67
2020,Mar,151.81
2020,Apr,153.51
2020,May,152.93
2020,Jun,151.97
2020,Jul,151.53
2020,Aug,151.76
2020,Sep,152.24
2020,Oct,151.57
2020,Nov,152.05
2020,Dec,152.78
2021,Jan,153.03
2021,Feb,152.69
2021,Mar,152.1
2021,Apr,152.95
2021,May,153.46
2021,Jun,153.65
2021,Jul,152.65
2021,Aug,152.38
2021,Sep,153.17
2021,Oct,152.01
2021,Nov,151.79
2021,Dec,152.64
2022,Jan,153.91
2022,Feb,153.84
2022,Mar,154.17
2022,Apr,154.54
2022,May,154.59
2022,Jun,152.84
2022,Jul,154.6
2022,Aug,153.88
2022,Sep,154.01
2022,Oct,153.48
2022,Nov,154.29
2022,Dec,153.93
2023,Jan,155.21
2023,Feb,154.51
2023,Mar,154.7
2023,Apr,154.31
2023,May,153.91
2023,Jun,154.37
2023,Jul,153.87
2023,Aug,154.15
2023,Sep,153.68
2023,Oct,153.53
2023,Nov,153.74
2023,Dec,153.84
2024,Jan,153.6
2024,Feb,152.25
2024,Mar,151.25
2024,Apr,153.33
2024,May,143.81
2024,Jun,121.25
2024,Jul,106.61
2024,Aug,97.55
2024,Sep,91.48
2024,Oct,83.27
2024,Nov,83.81
2024,Dec,75.81
