Year,Month,Coconut_local_price
2020,Jan,65.63
2020,Feb,73.13
2020,Mar,71.25
2020,Apr,
2020,May,
2020,Jun,
2020,Jul,73.50
2020,Aug,76.88
2020,Sep,84.50
2020,Oct,85.00
2020,Nov,
2020,Dec,
2021,Jan,102.50
2021,Feb,103.75
2021,Mar,97.00
2021,Apr,85.00
2021,May,90.00
2021,Jun,92.50
2021,Jul,85.00
2021,Aug,85.83
2021,Sep,
2021,Oct,91.88
2021,Nov,92.50
2021,Dec,90.25
2022,Jan,90.25
2022,Feb,91.88
2022,Mar,91.88
2022,Apr,93.33
2022,May,93.75
2022,Jun,96.88
2022,Jul,97.50
2022,Aug,98.50
2022,Sep,102.50
2022,Oct,103.00
2022,Nov,108.13
2022,Dec,108.13
2023,Jan,117.00
2023,Feb,120.00
2023,Mar,120.00
2023,Apr,120.00
2023,May,118.00
2023,Jun,113.75
2023,Jul,111.25
2023,Aug,110.00
2023,Sep,110.00
2023,Oct,110.00
2023,Nov,110.00
2023,Dec,113.75
2024,Jan,113.50
2024,Feb,113.13
2024,Mar,115.00
2024,Apr,113.75
2024,May,111.25
2024,Jun,112.50
2024,Jul,121.00
2024,Aug,127.50
2024,Sep,131.50
2024,Oct,148.75
2024,Nov,158.13
2024,Dec,182.50
2019,Jan,62.50
2019,Feb,61.88
2019,Mar,61.88
2019,Apr,61.67
2019,May,60.63
2019,Jun,58.13
2019,Jul,57.50
2019,Aug,52.50
2019,Sep,55.00
2019,Oct,55.00
2019,Nov,58.75
2019,Dec,63.00
2018,Jan,89.80
2018,Feb,90.00
2018,Mar,92.50
2018,Apr,89.38
2018,May,90.00
2018,Jun,88.12
2018,Jul,77.00
2018,Aug,71.88
2018,Sep,71.25
2018,Oct,71.50
2018,Nov,72.50
2018,Dec,69.00
2017,Jan,55.45
2017,Feb,59.69
2017,Mar,62.04
2017,Apr,69.00
2017,May,69.25
2017,Jun,66.88
2017,Jul,62.19
2017,Aug,67.75
2017,Sep,75.93
2017,Oct,81.50
2017,Nov,89.69
2017,Dec,89.06
2016,Jan,49.06
2016,Feb,48.88
2016,Mar,48.65
2016,Apr,48.58
2016,May,44.25
2016,Jun,48.44
2016,Jul,47.37
2016,Aug,47.31
2016,Sep,47.31
2016,Oct,52.50
2016,Nov,52.50
2016,Dec,52.88
2015,Jan,49.54
2015,Feb,52.00
2015,Mar,52.51
2015,Apr,52.51
2015,May,54.00
2015,Jun,52.52
2015,Jul,50.00
2015,Aug,46.53
2015,Sep,44.00
2015,Oct,47.52
2015,Nov,47.54
2015,Dec,47.58
